Sentence,Readability,source,type,readability_confidence,aldi_score,aldi_label,ags_score,ags_label,art_id,artist_id,artist_name,art_title,writer,composer,verse_order,origin,dialect,corpus_version,word_count
نعم !,1,barec,,1.0,0.001358,low,0.511818,mid,,,,,,,,,,,
أصنع,1,barec,,1.0,0.000753,low,0.470411,mid,,,,,,,,,,,
أشرب,1,barec,,1.0,0.051569,low,0.758177,high,,,,,,,,,,,
بوم,1,barec,,1.0,0.063895,low,0.465501,mid,,,,,,,,,,,
أربط,1,barec,,1.0,0.0,low,0.645616,mid,,,,,,,,,,,
حديد,1,barec,,1.0,0.268058,low,0.261072,low,,,,,,,,,,,
تنبيه .,1,barec,,1.0,0.0,low,0.421018,mid,,,,,,,,,,,
لا !,1,barec,,1.0,0.046745,low,0.741415,high,,,,,,,,,,,
حذاء,1,barec,,1.0,0.007139,low,0.204929,low,,,,,,,,,,,
هوو !,1,barec,,1.0,0.778715,high,0.716239,high,,,,,,,,,,,
أم,1,barec,,1.0,0.01406,low,0.397903,mid,,,,,,,,,,,
دار,1,barec,,1.0,0.029253,low,0.128673,low,,,,,,,,,,,
فيل,1,barec,,1.0,0.240538,low,0.208477,low,,,,,,,,,,,
( مهلة ),1,barec,,1.0,0.0,low,0.408296,mid,,,,,,,,,,,
باتمان باتمان باتمان باتمان باتمان باتمان,1,barec,,1.0,0.076468,low,0.765703,high,,,,,,,,,,,
أضحك,1,barec,,1.0,0.010008,low,0.279505,low,,,,,,,,,,,
- لا,1,barec,,1.0,0.044044,low,0.88038,high,,,,,,,,,,,
نعم !,1,barec,,1.0,0.001358,low,0.511818,mid,,,,,,,,,,,
غزال,1,barec,,1.0,0.073609,low,0.330045,mid,,,,,,,,,,,
باب,1,barec,,1.0,0.021624,low,0.913457,high,,,,,,,,,,,
نعم . . نعم . .,1,barec,,1.0,0.0,low,0.652416,mid,,,,,,,,,,,
عجمان,1,barec,,1.0,0.009322,low,0.622799,mid,,,,,,,,,,,
عشب,1,barec,,1.0,0.005524,low,0.673526,high,,,,,,,,,,,
بر .,1,barec,,1.0,0.227353,low,0.782657,high,,,,,,,,,,,
موطن,1,barec,,1.0,0.025438,low,0.200124,low,,,,,,,,,,,
حسن,1,barec,,1.0,0.000623,low,0.722141,high,,,,,,,,,,,
نشاط,1,barec,,1.0,0.015943,low,0.168942,low,,,,,,,,,,,
اسم,1,barec,,1.0,0.024921,low,0.996331,high,,,,,,,,,,,
راشد,1,barec,,1.0,0.002036,low,0.779902,high,,,,,,,,,,,
دار,1,barec,,1.0,0.029253,low,0.128673,low,,,,,,,,,,,
لا . .,1,barec,,1.0,0.066002,low,0.752864,high,,,,,,,,,,,
وقوف !,1,barec,,1.0,0.030526,low,0.298079,low,,,,,,,,,,,
أقرأ,1,barec,,1.0,0.000277,low,0.856039,high,,,,,,,,,,,
رائع .,1,barec,,1.0,0.007334,low,0.693923,high,,,,,,,,,,,
ترابا,1,barec,,1.0,0.157572,low,0.309883,low,,,,,,,,,,,
نار,1,barec,,1.0,0.203211,low,0.261759,low,,,,,,,,,,,
ها !,1,barec,,1.0,0.871283,high,0.524463,mid,,,,,,,,,,,
تمهيد,1,barec,,1.0,0.000258,low,0.327491,low,,,,,,,,,,,
مبروك مبروك مبروك مبروك,1,barec,,1.0,0.058109,low,0.613948,mid,,,,,,,,,,,
